Line Number	Position	Line	Error	Message
157	4	"SET Evidence = ""Rs1912960 has been associated with ASD and rs211037 with epilepsy. GABRA4 is associated with autism in the Argentinean dataset independently or in combination with GABRG2."""""	UndefinedAnnotationWarning	"""Evidence"" is not defined"
708	12	kin(complex(FPLX:mTORC2)) -> p(HGNC:AKT1, pmod(P, S, 473))	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
776	24	p(HGNC:TSC1) -- complex(FPLX:mTORC2)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
777	24	p(HGNC:TSC2) -- complex(FPLX:mTORC2)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
781	42	a(CHEBI:sirolimus) causesNoChange complex(FPLX:mTORC2)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
782	42	a(CHEBI:sirolimus) causesNoChange complex(FPLX:mTORC2)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
783	50	"complex(GOCC:""growth factor complex"") reg complex(FPLX:mTORC2)"	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
787	8	complex(FPLX:mTORC2) -- p(HGNC:AKT1)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
788	8	complex(FPLX:mTORC2) -- p(HGNC:PRKCA)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
789	8	complex(FPLX:mTORC2) -- p(HGNC:SGK1)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
793	12	kin(complex(FPLX:mTORC2)) -> p(HGNC:AKT1, pmod(P))	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
805	12	kin(complex(FPLX:mTORC2)) -> p(HGNC:ROCK1, pmod(P))	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
806	12	kin(complex(FPLX:mTORC2)) -> p(HGNC:PRKCA, pmod(P))	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
812	8	complex(FPLX:mTORC2) -- p(HGNC:REXO1)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
813	8	complex(FPLX:mTORC2) -- p(HGNC:HSPA1A)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
814	8	complex(FPLX:mTORC2) -- p(HGNC:SFN)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
839	25	p(HGNC:MLST8) -> complex(FPLX:mTORC2)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
844	26	p(HGNC:DEPTOR) -| complex(FPLX:mTORC2)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
2202	3	"bp(GOBP:""ion channel regulator activity"") -- path(MESHD:Epilepsy)"	MissingNamespaceNameWarning	"""ion channel regulator activity"" is not in the GOBP namespace"
2203	22	"p(HGNC:CNTNAP2) -- bp(GOBP:""ion channel regulator activity"")"	MissingNamespaceNameWarning	"""ion channel regulator activity"" is not in the GOBP namespace"
2331	8	complex(FPLX:C1) hasComponent p(HGNC:C1QB)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
2332	8	complex(FPLX:C1) hasComponent p(HGNC:C1S)	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
2336	8	"complex(FPLX:C1) -| path(MESHD:""Immune Complex Diseases"")"	UndefinedNamespaceWarning	"""FPLX"" is not a defined namespace"
2476	44	"bp(GOBP:""cellular metabolic process"") -- bp(""maintenance of neuronal function"")"	NakedNameWarning	"""maintenance of neuronal function"" should be qualified with a valid namespace"
4128	4	"SET Species = ""9940"""	IllegalAnnotationValueWarning	"""9940"" is not defined in the Species annotation"
5965	5	"path(EPT:""Glucose transporter type 1 deficiency"") -- path(MESHD:Seizures)"	MissingNamespaceNameWarning	"""Glucose transporter type 1 deficiency"" is not in the EPT namespace"
5968	5	"path(EPT:""Glucose transporter type 1 deficiency"") -- bp(PTS:""Energy Metabolism"")"	MissingNamespaceNameWarning	"""Glucose transporter type 1 deficiency"" is not in the EPT namespace"
5969	5	"path(EPT:""Glucose transporter type 1 deficiency"") -| bp(PTS:""Citrate cycle _TCA cycle_"")"	MissingNamespaceNameWarning	"""Glucose transporter type 1 deficiency"" is not in the EPT namespace"
6847	67	"bp(PTS:""mitogen activated protein kinase signaling pathway"") -> bp(GOBP:""translation initiation"")"	MissingNamespaceNameWarning	"""translation initiation"" is not in the GOBP namespace"
6849	3	"bp(GOBP:""translation initiation"") -- bp(GOBP:""regulation of neuronal synaptic plasticity"")"	MissingNamespaceNameWarning	"""translation initiation"" is not in the GOBP namespace"
